TABLE_SCHEMA	TABLE_NAME	row_count
mysql	innodb_table_stats	21
mysql	innodb_index_stats	153
mysql	db	2
mysql	user	6
mysql	default_roles	0
mysql	role_edges	0
mysql	global_grants	49
mysql	password_history	0
mysql	func	0
mysql	plugin	0
mysql	help_topic	589
mysql	help_category	53
mysql	help_relation	1949
mysql	servers	0
mysql	tables_priv	2
mysql	columns_priv	0
mysql	help_keyword	1092
mysql	time_zone_name	0
mysql	time_zone	0
mysql	time_zone_transition	0
mysql	time_zone_transition_type	0
mysql	time_zone_leap_second	0
mysql	procs_priv	0
mysql	general_log	2
mysql	slow_log	2
mysql	component	0
mysql	slave_relay_log_info	0
mysql	slave_master_info	0
mysql	slave_worker_info	0
mysql	gtid_executed	0
mysql	replication_asynchronous_connection_failover	0
mysql	replication_asynchronous_connection_failover_managed	0
mysql	replication_group_member_actions	2
mysql	replication_group_configuration_version	1
mysql	server_cost	6
mysql	engine_cost	2
mysql	proxies_priv	1
mysql	ndb_binlog_index	0
sakila	actor	200
sakila	address	603
sakila	category	16
sakila	city	600
sakila	country	109
sakila	customer	599
sakila	film	1000
sakila	film_actor	5462
sakila	film_category	1000
sakila	film_text	1000
sakila	inventory	4581
sakila	language	6
sakila	payment	16086
sakila	rental	15420
sakila	staff	2
sakila	store	2
sakila	customer_list	None
sakila	film_list	None
sakila	nicer_but_slower_film_list	None
sakila	staff_list	None
sakila	sales_by_store	None
sakila	sales_by_film_category	None
sakila	actor_info	None
world	city	4035
world	country	239
world	countrylanguage	984
